Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
-3.6025e-08,1,1,1,1,1,1,1,1,1,1,1
-3.5945e-08,0,1,1,1,1,1,1,1,1,1,1
-3.5865e-08,0,1,1,1,1,1,1,1,1,1,1
-3.5785e-08,1,1,1,1,1,1,1,1,1,1,1
-3.5705e-08,1,1,1,1,1,1,1,1,1,1,1
-3.5625e-08,1,1,1,1,1,1,1,1,1,1,1
-3.5545e-08,0,1,1,1,1,1,1,1,1,1,1
-3.5465e-08,0,1,1,1,1,1,1,1,1,1,1
-3.5385e-08,0,1,1,1,1,1,1,1,1,1,1
-3.5305e-08,1,1,1,1,1,1,1,1,1,1,1
-3.5225e-08,1,1,1,1,1,1,1,1,1,1,1
-3.5145e-08,0,1,1,1,1,1,1,1,1,1,1
-3.5065e-08,0,1,1,1,1,1,1,1,1,1,1
-3.4985e-08,0,1,1,1,1,1,1,1,1,1,1
-3.4905e-08,1,1,1,1,1,1,1,1,1,1,1
-3.4825e-08,1,1,1,1,1,1,1,1,1,1,1
-3.4745e-08,0,1,1,1,1,1,1,1,1,1,1
-3.4665e-08,0,1,1,1,1,1,1,1,1,1,1
-3.4585e-08,0,1,1,1,1,1,1,1,1,1,1
-3.4505e-08,1,1,1,1,1,1,1,1,1,1,1
-3.4425e-08,1,1,1,1,1,1,1,1,1,1,1
-3.4345e-08,1,1,1,1,1,1,1,1,1,1,1
-3.4265e-08,0,1,1,1,1,1,1,1,1,1,1
-3.4185e-08,0,1,1,1,1,1,1,1,1,1,1
-3.4105e-08,1,1,1,1,1,1,1,1,1,1,1
-3.4025e-08,1,1,1,1,1,1,1,1,1,1,1
-3.3945e-08,1,1,1,1,1,1,1,1,1,1,1
-3.3865e-08,0,1,1,1,1,1,1,1,1,1,1
-3.3785e-08,0,1,1,1,1,1,1,1,1,1,1
-3.3705e-08,1,1,1,1,1,1,1,1,1,1,1
-3.3625e-08,1,1,1,1,1,1,1,1,1,1,1
-3.3545e-08,1,1,1,1,1,1,1,1,1,1,1
-3.3465e-08,0,1,1,1,1,1,1,1,1,1,1
-3.3385e-08,0,1,1,1,1,1,1,1,1,1,1
-3.3305e-08,0,1,1,1,1,1,1,1,1,1,1
-3.3225e-08,1,1,1,1,1,1,1,1,1,1,1
-3.3145e-08,1,1,1,1,1,1,1,1,1,1,1
-3.3065e-08,0,1,1,1,1,1,1,1,1,1,1
-3.2985e-08,0,1,1,1,1,1,1,1,1,1,1
-3.2905e-08,0,1,1,1,1,1,1,1,1,1,1
-3.2825e-08,1,1,1,1,1,1,1,1,1,1,1
-3.2745e-08,1,1,1,1,1,1,1,1,1,1,1
-3.2665e-08,1,1,1,1,1,1,1,1,1,1,1
-3.2585e-08,0,1,1,1,1,1,1,1,1,1,1
-3.2505e-08,0,1,1,1,1,1,1,1,1,1,1
-3.2425e-08,1,1,1,1,1,1,1,1,1,1,1
-3.2345e-08,1,1,1,1,1,1,1,1,1,1,1
-3.2265e-08,1,1,1,1,1,1,1,1,1,1,1
-3.2185e-08,0,1,1,1,1,1,1,1,1,1,1
-3.2105e-08,0,1,1,1,1,1,1,1,1,1,1
-3.2025e-08,1,1,1,1,1,1,1,1,1,1,1
-3.1945e-08,1,1,1,1,1,1,1,1,1,1,1
-3.1865e-08,1,1,1,1,1,1,1,1,1,1,1
-3.1785e-08,0,1,1,1,1,1,1,1,1,1,1
-3.1705e-08,0,1,1,1,1,1,1,1,1,1,1
-3.1625e-08,0,1,1,1,1,1,1,1,1,1,1
-3.1545e-08,1,1,1,1,1,1,1,1,1,1,1
-3.1465e-08,1,1,1,1,1,1,1,1,1,1,1
-3.1385e-08,0,1,1,1,1,1,1,1,1,1,1
-3.1305e-08,0,1,1,1,1,1,1,1,1,1,1
-3.1225e-08,0,1,1,1,1,1,1,1,1,1,1
-3.1145e-08,1,1,1,1,1,1,1,1,1,1,1
-3.1065e-08,1,1,1,1,1,1,1,1,1,1,1
-3.0985e-08,0,1,1,1,1,1,1,1,1,1,1
-3.0905e-08,0,1,1,1,1,1,1,1,1,1,1
-3.0825e-08,0,1,1,1,1,1,1,1,1,1,1
-3.0745e-08,1,1,1,1,1,1,1,1,1,1,1
-3.0665e-08,1,1,1,1,1,1,1,1,1,1,1
-3.0585e-08,1,1,1,1,1,1,1,1,1,1,1
-3.0505e-08,0,1,1,1,1,1,1,1,1,1,1
-3.0425e-08,0,1,1,1,1,1,1,1,1,1,1
-3.0345e-08,1,1,1,1,1,1,1,1,1,1,1
-3.0265e-08,1,1,1,1,1,1,1,1,1,1,1
-3.0185e-08,1,1,1,1,1,1,1,1,1,1,1
-3.0105e-08,0,1,1,1,1,1,1,1,1,1,1
-3.0025e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9945e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9865e-08,1,1,1,1,1,1,1,1,1,1,1
-2.9785e-08,1,1,1,1,1,1,1,1,1,1,1
-2.9705e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9625e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9545e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9465e-08,1,1,1,1,1,1,1,1,1,1,1
-2.9385e-08,1,1,1,1,1,1,1,1,1,1,1
-2.9305e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9225e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9145e-08,0,1,1,1,1,1,1,1,1,1,1
-2.9065e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8985e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8905e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8825e-08,0,1,1,1,1,1,1,1,1,1,1
-2.8745e-08,0,1,1,1,1,1,1,1,1,1,1
-2.8665e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8585e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8505e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8425e-08,0,1,1,1,1,1,1,1,1,1,1
-2.8345e-08,0,1,1,1,1,1,1,1,1,1,1
-2.8265e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8185e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8105e-08,1,1,1,1,1,1,1,1,1,1,1
-2.8025e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7945e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7865e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7785e-08,1,1,1,1,1,1,1,1,1,1,1
-2.7705e-08,1,1,1,1,1,1,1,1,1,1,1
-2.7625e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7545e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7465e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7385e-08,1,1,1,1,1,1,1,1,1,1,1
-2.7305e-08,1,1,1,1,1,1,1,1,1,1,1
-2.7225e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7145e-08,0,1,1,1,1,1,1,1,1,1,1
-2.7065e-08,0,1,1,1,1,1,1,1,1,1,1
-2.6985e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6905e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6825e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6745e-08,0,1,1,1,1,1,1,1,1,1,1
-2.6665e-08,0,1,1,1,1,1,1,1,1,1,1
-2.6585e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6505e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6425e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6345e-08,0,1,1,1,1,1,1,1,1,1,1
-2.6265e-08,0,1,1,1,1,1,1,1,1,1,1
-2.6185e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6105e-08,1,1,1,1,1,1,1,1,1,1,1
-2.6025e-08,1,1,1,1,1,1,1,1,1,1,1
-2.5945e-08,0,1,1,1,1,1,1,1,1,1,1
-2.5865e-08,0,1,1,1,1,1,1,1,1,1,1
-2.5785e-08,0,1,1,1,1,1,1,1,1,1,1
-2.5705e-08,1,1,1,1,1,1,1,1,1,1,1
-2.5625e-08,1,1,1,1,1,1,1,1,1,1,1
-2.5545e-08,0,1,1,1,1,1,1,1,1,1,1
-2.5465e-08,0,1,1,1,1,1,1,1,1,1,1
-2.5385e-08,0,1,1,1,1,1,1,1,1,1,1
-2.5305e-08,1,1,1,1,1,1,1,1,1,1,1
-2.5225e-08,1,1,1,1,1,1,1,1,1,1,1
-2.5145e-08,1,1,1,1,1,1,1,1,1,1,1
-2.5065e-08,0,1,1,1,1,1,1,1,1,1,1
-2.4985e-08,0,1,1,1,1,1,1,1,1,1,1
-2.4905e-08,1,1,1,1,1,1,1,1,1,1,1
-2.4825e-08,1,1,1,1,1,1,1,1,1,1,1
-2.4745e-08,1,1,1,1,1,1,1,1,1,1,1
-2.4665e-08,0,1,1,1,1,1,1,1,1,1,1
-2.4585e-08,0,1,1,1,1,1,1,1,1,1,1
-2.4505e-08,1,1,1,1,1,1,1,1,1,1,1
-2.4425e-08,1,1,1,1,1,1,1,1,1,1,1
-2.4345e-08,1,1,1,1,1,1,1,1,1,1,1
-2.4265e-08,0,1,1,1,1,1,1,1,1,1,1
-2.4185e-08,0,1,1,1,1,1,1,1,1,1,1
-2.4105e-08,0,1,1,1,1,1,1,1,1,1,1
-2.4025e-08,1,1,1,1,1,1,1,1,1,1,1
-2.3945e-08,1,1,1,1,1,1,1,1,1,1,1
-2.3865e-08,0,1,1,1,1,1,1,1,1,1,1
-2.3785e-08,0,1,1,1,1,1,1,1,1,1,1
-2.3705e-08,0,1,1,1,1,1,1,1,1,1,1
-2.3625e-08,1,1,1,1,1,1,1,1,1,1,1
-2.3545e-08,1,1,1,1,1,1,1,1,1,1,1
-2.3465e-08,1,1,1,1,1,1,1,1,1,1,1
-2.3385e-08,0,1,1,1,1,1,1,1,1,1,1
-2.3305e-08,0,1,1,1,1,1,1,1,1,1,1
-2.3225e-08,1,1,1,1,1,1,1,1,1,1,1
-2.3145e-08,1,1,1,1,1,1,1,1,1,1,1
-2.3065e-08,1,1,1,1,1,1,1,1,1,1,1
-2.2985e-08,0,1,1,1,1,1,1,1,1,1,1
-2.2905e-08,0,1,1,1,1,1,1,1,1,1,1
-2.2825e-08,1,1,1,1,1,1,1,1,1,1,1
-2.2745e-08,1,1,1,1,1,1,1,1,1,1,1
-2.2665e-08,1,1,1,1,1,1,1,1,1,1,1
-2.2585e-08,0,1,1,1,1,1,1,1,1,1,1
-2.2505e-08,0,1,1,1,1,1,1,1,1,1,1
-2.2425e-08,0,1,1,1,1,1,1,1,1,1,1
-2.2345e-08,1,1,1,1,1,1,1,1,1,1,1
-2.2265e-08,1,1,1,1,1,1,1,1,1,1,1
-2.2185e-08,0,1,1,1,1,1,1,1,1,1,1
-2.2105e-08,0,1,1,1,1,1,1,1,1,1,1
-2.2025e-08,0,1,1,1,1,1,1,1,1,1,1
-2.1945e-08,1,1,1,1,1,1,1,1,1,1,1
-2.1865e-08,1,1,1,1,1,1,1,1,1,1,1
-2.1785e-08,0,1,1,1,1,1,1,1,1,1,1
-2.1705e-08,0,1,1,1,1,1,1,1,1,1,1
-2.1625e-08,0,1,1,1,1,1,1,1,1,1,1
-2.1545e-08,1,1,1,1,1,1,1,1,1,1,1
-2.1465e-08,1,1,1,1,1,1,1,1,1,1,1
-2.1385e-08,1,1,1,1,1,1,1,1,1,1,1
-2.1305e-08,0,1,1,1,1,1,1,1,1,1,1
-2.1225e-08,0,1,1,1,1,1,1,1,1,1,1
-2.1145e-08,1,1,1,1,1,1,1,1,1,1,1
-2.1065e-08,1,1,1,1,1,1,1,1,1,1,1
