Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
-2.06650004e-08,1,1,1,1,1,1,1,1,1,1,1
-2.05850004e-08,0,1,1,1,1,1,1,1,1,1,1
-2.05050004e-08,0,1,1,1,1,1,1,1,1,1,1
-2.04250004e-08,1,1,1,1,1,1,1,1,1,1,1
-2.03450004e-08,1,1,1,1,1,1,1,1,1,1,1
-2.02650004e-08,1,1,1,1,1,1,1,1,1,1,1
-2.01850004e-08,0,1,1,1,1,1,1,1,1,1,1
-2.01050004e-08,0,1,1,1,1,1,1,1,1,1,1
-2.00250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.99450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.98650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.97850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.97050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.96250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.95450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.94650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.93850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.93050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.92250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.91450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.90650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.89850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.89050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.88250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.87450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.86650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.85850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.85050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.84250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.83450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.82650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.81850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.81050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.80250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.79450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.78650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.77850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.77050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.76250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.75450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.74650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.73850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.73050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.72250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.71450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.70650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.69850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.69050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.68250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.67450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.66650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.65850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.65050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.64250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.63450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.62650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.61850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.61050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.60250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.59450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.58650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.57850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.57050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.56250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.55450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.54650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.53850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.53050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.52250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.51450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.50650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.49850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.49050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.48250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.47450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.46650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.45850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.45050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.44250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.43450004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.42650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.41850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.41050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.40250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.39450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.38650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.37850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.37050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.36250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.35450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.34650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.33850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.33050004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.32250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.31450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.30650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.29850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.29050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.28250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.27450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.26650004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.25850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.25050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.24250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.23450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.22650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.21850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.21050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.20250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.19450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.18650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.17850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.17050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.16250004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.15450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.14650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.13850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.13050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.12250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.11450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.10650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.09850004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.09050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.08250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.07450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.06650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.05850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.05050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.04250004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.03450004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.02650004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.01850004e-08,1,1,1,1,1,1,1,1,1,1,1
-1.01050004e-08,0,1,1,1,1,1,1,1,1,1,1
-1.00250004e-08,0,1,1,1,1,1,1,1,1,1,1
-9.94500042e-09,1,1,1,1,1,1,1,1,1,1,1
-9.86500042e-09,1,1,1,1,1,1,1,1,1,1,1
-9.78500042e-09,1,1,1,1,1,1,1,1,1,1,1
-9.70500042e-09,0,1,1,1,1,1,1,1,1,1,1
-9.62500042e-09,0,1,1,1,1,1,1,1,1,1,1
-9.54500042e-09,0,1,1,1,1,1,1,1,1,1,1
-9.46500042e-09,1,1,1,1,1,1,1,1,1,1,1
-9.38500042e-09,1,1,1,1,1,1,1,1,1,1,1
-9.30500042e-09,0,1,1,1,1,1,1,1,1,1,1
-9.22500042e-09,0,1,1,1,1,1,1,1,1,1,1
-9.14500042e-09,0,1,1,1,1,1,1,1,1,1,1
-9.06500042e-09,1,1,1,1,1,1,1,1,1,1,1
-8.98500042e-09,1,1,1,1,1,1,1,1,1,1,1
-8.90500042e-09,0,1,1,1,1,1,1,1,1,1,1
-8.82500042e-09,0,1,1,1,1,1,1,1,1,1,1
-8.74500043e-09,0,1,1,1,1,1,1,1,1,1,1
-8.66500043e-09,1,1,1,1,1,1,1,1,1,1,1
-8.58500043e-09,1,1,1,1,1,1,1,1,1,1,1
-8.50500043e-09,1,1,1,1,1,1,1,1,1,1,1
-8.42500043e-09,0,1,1,1,1,1,1,1,1,1,1
-8.34500043e-09,0,1,1,1,1,1,1,1,1,1,1
-8.26500043e-09,1,1,1,1,1,1,1,1,1,1,1
-8.18500043e-09,1,1,1,1,1,1,1,1,1,1,1
-8.10500043e-09,1,1,1,1,1,1,1,1,1,1,1
-8.02500043e-09,0,1,1,1,1,1,1,1,1,1,1
-7.94500043e-09,0,1,1,1,1,1,1,1,1,1,1
-7.86500043e-09,1,1,1,1,1,1,1,1,1,1,1
-7.78500043e-09,1,1,1,1,1,1,1,1,1,1,1
-7.70500043e-09,1,1,1,1,1,1,1,1,1,1,1
-7.62500043e-09,0,1,1,1,1,1,1,1,1,1,1
-7.54500043e-09,0,1,1,1,1,1,1,1,1,1,1
-7.46500043e-09,0,1,1,1,1,1,1,1,1,1,1
-7.38500043e-09,1,1,1,1,1,1,1,1,1,1,1
-7.30500043e-09,1,1,1,1,1,1,1,1,1,1,1
-7.22500043e-09,0,1,1,1,1,1,1,1,1,1,1
-7.14500043e-09,0,1,1,1,1,1,1,1,1,1,1
-7.06500043e-09,0,1,1,1,1,1,1,1,1,1,1
-6.98500043e-09,1,1,1,1,1,1,1,1,1,1,1
-6.90500043e-09,1,1,1,1,1,1,1,1,1,1,1
-6.82500043e-09,1,1,1,1,1,1,1,1,1,1,1
-6.74500043e-09,0,1,1,1,1,1,1,1,1,1,1
-6.66500043e-09,0,1,1,1,1,1,1,1,1,1,1
-6.58500043e-09,1,1,1,1,1,1,1,1,1,1,1
-6.50500043e-09,1,1,1,1,1,1,1,1,1,1,1
-6.42500043e-09,1,1,1,1,1,1,1,1,1,1,1
-6.34500043e-09,0,1,1,1,1,1,1,1,1,1,1
-6.26500044e-09,0,1,1,1,1,1,1,1,1,1,1
-6.18500044e-09,1,1,1,1,1,1,1,1,1,1,1
-6.10500044e-09,1,1,1,1,1,1,1,1,1,1,1
-6.02500044e-09,1,1,1,1,1,1,1,1,1,1,1
-5.94500044e-09,0,1,1,1,1,1,1,1,1,1,1
-5.86500044e-09,0,1,1,1,1,1,1,1,1,1,1
-5.78500044e-09,1,1,1,1,1,1,1,1,1,1,1
