Time,CK0,CS,CA1,CA2,CA0,CA7,CA9,CA8,CA6,CA4,CA10
-2.0665e-08,1,1,1,1,1,1,1,1,1,1,1
-2.0585e-08,0,1,1,1,1,1,1,1,1,1,1
-2.0505e-08,0,1,1,1,1,1,1,1,1,1,1
-2.0425e-08,1,1,1,1,1,1,1,1,1,1,1
-2.0345e-08,1,1,1,1,1,1,1,1,1,1,1
-2.0265e-08,1,1,1,1,1,1,1,1,1,1,1
-2.0185e-08,0,1,1,1,1,1,1,1,1,1,1
-2.0105e-08,0,1,1,1,1,1,1,1,1,1,1
-2.0025e-08,0,1,1,1,1,1,1,1,1,1,1
-1.9945e-08,1,1,1,1,1,1,1,1,1,1,1
-1.9865e-08,1,1,1,1,1,1,1,1,1,1,1
-1.9785e-08,0,1,1,1,1,1,1,1,1,1,1
-1.9705e-08,0,1,1,1,1,1,1,1,1,1,1
-1.9625e-08,0,1,1,1,1,1,1,1,1,1,1
-1.9545e-08,1,1,1,1,1,1,1,1,1,1,1
-1.9465e-08,1,1,1,1,1,1,1,1,1,1,1
-1.9385e-08,1,1,1,1,1,1,1,1,1,1,1
-1.9305e-08,0,1,1,1,1,1,1,1,1,1,1
-1.9225e-08,0,1,1,1,1,1,1,1,1,1,1
-1.9145e-08,1,1,1,1,1,1,1,1,1,1,1
-1.9065e-08,1,1,1,1,1,1,1,1,1,1,1
-1.8985e-08,1,1,1,1,1,1,1,1,1,1,1
-1.8905e-08,0,1,1,1,1,1,1,1,1,1,1
-1.8825e-08,0,1,1,1,1,1,1,1,1,1,1
-1.8745e-08,1,1,1,1,1,1,1,1,1,1,1
-1.8665e-08,1,1,1,1,1,1,1,1,1,1,1
-1.8585e-08,1,1,1,1,1,1,1,1,1,1,1
-1.8505e-08,0,1,1,1,1,1,1,1,1,1,1
-1.8425e-08,0,1,1,1,1,1,1,1,1,1,1
-1.8345e-08,0,1,1,1,1,1,1,1,1,1,1
-1.8265e-08,1,1,1,1,1,1,1,1,1,1,1
-1.8185e-08,1,1,1,1,1,1,1,1,1,1,1
-1.8105e-08,0,1,1,1,1,1,1,1,1,1,1
-1.8025e-08,0,1,1,1,1,1,1,1,1,1,1
-1.7945e-08,0,1,1,1,1,1,1,1,1,1,1
-1.7865e-08,1,1,1,1,1,1,1,1,1,1,1
-1.7785e-08,1,1,1,1,1,1,1,1,1,1,1
-1.7705e-08,1,1,1,1,1,1,1,1,1,1,1
-1.7625e-08,0,1,1,1,1,1,1,1,1,1,1
-1.7545e-08,0,1,1,1,1,1,1,1,1,1,1
-1.7465e-08,1,1,1,1,1,1,1,1,1,1,1
-1.7385e-08,1,1,1,1,1,1,1,1,1,1,1
-1.7305e-08,1,1,1,1,1,1,1,1,1,1,1
-1.7225e-08,0,1,1,1,1,1,1,1,1,1,1
-1.7145e-08,0,1,1,1,1,1,1,1,1,1,1
-1.7065e-08,1,1,1,1,1,1,1,1,1,1,1
-1.6985e-08,1,1,1,1,1,1,1,1,1,1,1
-1.6905e-08,1,1,1,1,1,1,1,1,1,1,1
-1.6825e-08,0,1,1,1,1,1,1,1,1,1,1
-1.6745e-08,0,1,1,1,1,1,1,1,1,1,1
-1.6665e-08,0,1,1,1,1,1,1,1,1,1,1
-1.6585e-08,1,1,1,1,1,1,1,1,1,1,1
-1.6505e-08,1,1,1,1,1,1,1,1,1,1,1
-1.6425e-08,0,1,1,1,1,1,1,1,1,1,1
-1.6345e-08,0,1,1,1,1,1,1,1,1,1,1
-1.6265e-08,0,1,1,1,1,1,1,1,1,1,1
-1.6185e-08,1,1,1,1,1,1,1,1,1,1,1
-1.6105e-08,1,1,1,1,1,1,1,1,1,1,1
-1.6025e-08,1,1,1,1,1,1,1,1,1,1,1
-1.5945e-08,0,1,1,1,1,1,1,1,1,1,1
-1.5865e-08,0,1,1,1,1,1,1,1,1,1,1
-1.5785e-08,1,1,1,1,1,1,1,1,1,1,1
-1.5705e-08,1,1,1,1,1,1,1,1,1,1,1
-1.5625e-08,1,1,1,1,1,1,1,1,1,1,1
-1.5545e-08,0,1,1,1,1,1,1,1,1,1,1
-1.5465e-08,0,1,1,1,1,1,1,1,1,1,1
-1.5385e-08,1,1,1,1,1,1,1,1,1,1,1
-1.5305e-08,1,1,1,1,1,1,1,1,1,1,1
-1.5225e-08,1,1,1,1,1,1,1,1,1,1,1
-1.5145e-08,0,1,1,1,1,1,1,1,1,1,1
-1.5065e-08,0,1,1,1,1,1,1,1,1,1,1
-1.4985e-08,1,1,1,1,1,1,1,1,1,1,1
-1.4905e-08,1,1,1,1,1,1,1,1,1,1,1
-1.4825e-08,1,1,1,1,1,1,1,1,1,1,1
-1.4745e-08,0,1,1,1,1,1,1,1,1,1,1
-1.4665e-08,0,1,1,1,1,1,1,1,1,1,1
-1.4585e-08,0,1,1,1,1,1,1,1,1,1,1
-1.4505e-08,1,1,1,1,1,1,1,1,1,1,1
-1.4425e-08,1,1,1,1,1,1,1,1,1,1,1
-1.4345e-08,0,1,1,1,1,1,1,1,1,1,1
-1.4265e-08,0,1,1,1,1,1,1,1,1,1,1
-1.4185e-08,0,1,1,1,1,1,1,1,1,1,1
-1.4105e-08,1,1,1,1,1,1,1,1,1,1,1
-1.4025e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3945e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3865e-08,0,1,1,1,1,1,1,1,1,1,1
-1.3785e-08,0,1,1,1,1,1,1,1,1,1,1
-1.3705e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3625e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3545e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3465e-08,0,1,1,1,1,1,1,1,1,1,1
-1.3385e-08,0,1,1,1,1,1,1,1,1,1,1
-1.3305e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3225e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3145e-08,1,1,1,1,1,1,1,1,1,1,1
-1.3065e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2985e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2905e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2825e-08,1,1,1,1,1,1,1,1,1,1,1
-1.2745e-08,1,1,1,1,1,1,1,1,1,1,1
-1.2665e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2585e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2505e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2425e-08,1,1,1,1,1,1,1,1,1,1,1
-1.2345e-08,1,1,1,1,1,1,1,1,1,1,1
-1.2265e-08,1,1,1,1,1,1,1,1,1,1,1
-1.2185e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2105e-08,0,1,1,1,1,1,1,1,1,1,1
-1.2025e-08,1,1,1,1,1,1,1,1,1,1,1
-1.1945e-08,1,1,1,1,1,1,1,1,1,1,1
-1.1865e-08,1,1,1,1,1,1,1,1,1,1,1
-1.1785e-08,0,1,1,1,1,1,1,1,1,1,1
-1.1705e-08,0,1,1,1,1,1,1,1,1,1,1
-1.1625e-08,1,1,1,1,1,1,1,1,1,1,1
-1.1545e-08,1,1,1,1,1,1,1,1,1,1,1
-1.1465e-08,1,1,1,1,1,1,1,1,1,1,1
-1.1385e-08,0,1,1,1,1,1,1,1,1,1,1
-1.1305e-08,0,1,1,1,1,1,1,1,1,1,1
-1.1225e-08,0,1,1,1,1,1,1,1,1,1,1
-1.1145e-08,1,1,1,1,1,1,1,1,1,1,1
-1.1065e-08,1,1,1,1,1,1,1,1,1,1,1
-1.0985e-08,0,1,1,1,1,1,1,1,1,1,1
-1.0905e-08,0,1,1,1,1,1,1,1,1,1,1
-1.0825e-08,0,1,1,1,1,1,1,1,1,1,1
-1.0745e-08,1,1,1,1,1,1,1,1,1,1,1
-1.0665e-08,1,1,1,1,1,1,1,1,1,1,1
-1.0585e-08,1,1,1,1,1,1,1,1,1,1,1
-1.0505e-08,0,1,1,1,1,1,1,1,1,1,1
-1.0425e-08,0,1,1,1,1,1,1,1,1,1,1
-1.0345e-08,1,1,1,1,1,1,1,1,1,1,1
-1.0265e-08,1,1,1,1,1,1,1,1,1,1,1
-1.0185e-08,1,1,1,1,1,1,1,1,1,1,1
-1.0105e-08,0,1,1,1,1,1,1,1,1,1,1
-1.0025e-08,0,1,1,1,1,1,1,1,1,1,1
-9.945e-09,1,1,1,1,1,1,1,1,1,1,1
-9.865e-09,1,1,1,1,1,1,1,1,1,1,1
-9.785e-09,1,1,1,1,1,1,1,1,1,1,1
-9.705e-09,0,1,1,1,1,1,1,1,1,1,1
-9.625e-09,0,1,1,1,1,1,1,1,1,1,1
-9.545e-09,0,1,1,1,1,1,1,1,1,1,1
-9.465e-09,1,1,1,1,1,1,1,1,1,1,1
-9.385e-09,1,1,1,1,1,1,1,1,1,1,1
-9.305e-09,0,1,1,1,1,1,1,1,1,1,1
-9.225e-09,0,1,1,1,1,1,1,1,1,1,1
-9.145e-09,0,1,1,1,1,1,1,1,1,1,1
-9.065e-09,1,1,1,1,1,1,1,1,1,1,1
-8.985e-09,1,1,1,1,1,1,1,1,1,1,1
-8.905e-09,0,1,1,1,1,1,1,1,1,1,1
-8.825e-09,0,1,1,1,1,1,1,1,1,1,1
-8.745e-09,0,1,1,1,1,1,1,1,1,1,1
-8.665e-09,1,1,1,1,1,1,1,1,1,1,1
-8.585e-09,1,1,1,1,1,1,1,1,1,1,1
-8.505e-09,1,1,1,1,1,1,1,1,1,1,1
-8.425e-09,0,1,1,1,1,1,1,1,1,1,1
-8.345e-09,0,1,1,1,1,1,1,1,1,1,1
-8.265e-09,1,1,1,1,1,1,1,1,1,1,1
-8.185e-09,1,1,1,1,1,1,1,1,1,1,1
-8.105e-09,1,1,1,1,1,1,1,1,1,1,1
-8.025e-09,0,1,1,1,1,1,1,1,1,1,1
-7.945e-09,0,1,1,1,1,1,1,1,1,1,1
-7.865e-09,1,1,1,1,1,1,1,1,1,1,1
-7.785e-09,1,1,1,1,1,1,1,1,1,1,1
-7.705e-09,1,1,1,1,1,1,1,1,1,1,1
